amplification,cyclin_throttle,donor_age,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,tissue,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
0.5,0.05,25,0.34396850880870034,0.33621789852449535,0.3399883359833792,0.3399815944305211,2200,0.0019840239708477656,1.4128940056171533,1.3349728870903383,1.3738837411342733,1.3741298193635854,2200,0.019909449745167094,4.211521202860831,3.772282136349251,3.981419617301339,3.9797426714438746,2200,0.11104961519216709,blood_cd34,0.9954581804162699,0.9364931948330456,0.9664268011759964,0.9667953566364142,2200,0.014848495896380133
0.5,0.08000000000000002,25,0.34372573976190784,0.3362438180453822,0.3399989340896195,0.3399446133674885,2200,0.0019305357816154264,1.4216031756999574,1.3436521179188845,1.3826579504889527,1.3828073031979642,2200,0.020078722674708973,4.20095298856,3.767748998086535,3.9819767469822844,3.9810326745157427,2200,0.10841776264215916,blood_cd34,0.9957569318209725,0.9380174671906016,0.9662401312719283,0.9659799978972259,2200,0.01461288264041035
0.5,0.11000000000000001,25,0.343812791765614,0.33634094257275715,0.3400371490816327,0.33997522609546443,2200,0.001940898384545556,1.4280086750159564,1.3481530432604099,1.3894596393271914,1.3897143663323752,2200,0.02052064668937083,4.194581209689933,3.780965795862158,3.9828400322086583,3.9823405853036604,2200,0.10534994523317837,blood_cd34,0.9923957360591473,0.9337716913270737,0.9653648731281681,0.9660019501923125,2200,0.014822375977180294
0.5,0.14,25,0.3438621349910595,0.3363566002154144,0.34005363392665344,0.34003466622919304,2200,0.001928743766450885,1.4362144964056358,1.3547810444989823,1.3968776987836533,1.3973227081092552,2200,0.020973664652755106,4.194255586213496,3.767071543394427,3.9787659653015295,3.975650283460263,2200,0.10766570853742966,blood_cd34,0.9939263770005325,0.9351526213833945,0.963957042372726,0.9638180242480441,2200,0.014786254611970983
0.5,0.17000000000000004,25,0.3438526795653192,0.33607862164244046,0.3400004120143856,0.3400476788902832,2200,0.0019652393782311505,1.4460336417417514,1.36544461160175,1.4049368850111128,1.4047684468919737,2200,0.020567455857473965,4.201650186171301,3.770706827231823,3.9817847836376363,3.980851850327392,2200,0.10722444964335517,blood_cd34,0.9908286882016321,0.9325310208908012,0.9624989072079779,0.9624892268319323,2200,0.014976385605949112
0.5,0.2,25,0.34376390761145237,0.33630124729225486,0.3399960930694428,0.33998196256904756,2200,0.0019446672435128275,1.4518299696941694,1.3737855983238716,1.4120445642052981,1.4124170127587106,2200,0.02038836065414578,4.206743667995543,3.7719029497328997,3.9830214018256878,3.982492913126225,2200,0.110051414400959,blood_cd34,0.9910215817963592,0.9319715173784369,0.9614159905632085,0.9612534613568107,2200,0.015021274622170311
0.7142857142857143,0.185,25,0.34365079866811515,0.3363501302155178,0.3399745449671421,0.33994622280418274,2200,0.0018889539080448458,1.6096631785074955,1.5067911837674048,1.558225856582738,1.558796640633711,2200,0.02566845225786941,4.678554989257341,4.189223592537349,4.428120926598496,4.428062235445699,2200,0.12560976091565665,blood_cd34,0.9826676966720478,0.9236071451325791,0.9532872580461299,0.9532686037346711,2200,0.014832853070355725
0.7142857142857143,0.2,25,0.34381199209201246,0.3361851581542537,0.3400026297014572,0.34001741625242143,2200,0.0019663149254249236,1.6120438822211214,1.5093889830348028,1.5617368104277087,1.5624821188108178,2200,0.02637197692443895,4.669957846288459,4.188471625200142,4.4231564196877216,4.422345104156757,2200,0.12451190915404746,blood_cd34,0.9800416326433586,0.9241531717185149,0.9518604217026039,0.9522377760947338,2200,0.014603130731548623
0.9285714285714286,0.05,25,0.3438586100187776,0.33628149997097384,0.3400428324883256,0.3399964942262721,2200,0.0019626332305342446,1.718074286499976,1.598652589877318,1.6610112940404749,1.6615440099551229,2200,0.030818479418736534,5.146223096301327,4.585263363270869,4.8633805780336745,4.8631861565900305,2200,0.1448840308454811,blood_cd34,0.9801120598291934,0.9205292793390574,0.949844673889556,0.9500135573335107,2200,0.014908670592819712
0.9285714285714286,0.08000000000000002,25,0.3436475646296434,0.33610748568642335,0.3399547214259001,0.33989276457696854,2200,0.0019138436158775412,1.7294608210498588,1.609103694887214,1.6715539951252671,1.6719931000097874,2200,0.030418302309814835,5.169483662751679,4.592984354777512,4.871277968497968,4.865277065498644,2200,0.14367978546196805,blood_cd34,0.9784982591150279,0.9198306096973009,0.9485826534516456,0.9488146691651481,2200,0.01521498560314253
0.9285714285714286,0.11000000000000001,25,0.3440078675268784,0.3360662242590141,0.3399848391173498,0.33999598936038206,2200,0.0019597050878241203,1.7399996626161236,1.616638654397409,1.680852928941155,1.6806372848129878,2200,0.031336177270856386,5.154028880748727,4.601749866709946,4.875863866502034,4.875547806403336,2200,0.14260204405439691,blood_cd34,0.9769221674316143,0.9164297177540894,0.9471431238456516,0.9470294288904852,2200,0.015219664371140333
0.9285714285714286,0.14,25,0.3438397339366293,0.3361847576620032,0.340085424536506,0.3401187863619224,2200,0.0019459870264977664,1.7436291429465693,1.6263210329048057,1.6875561104435028,1.6880496860407563,2200,0.03005122004348491,5.170577244466511,4.607240108793588,4.872616878664111,4.869642752191195,2200,0.1454207609823807,blood_cd34,0.9751484346605741,0.9169668160323317,0.9454501091484905,0.945299759778599,2200,0.01488120631365602
0.9285714285714286,0.17000000000000004,25,0.3442349199010327,0.33615924914898687,0.34003058063296077,0.3399504288722523,2200,0.001973574169250925,1.7510305263074892,1.63101902723458,1.694889670229176,1.6954914093911813,2200,0.031186910702207426,5.142511713777445,4.599416670340364,4.867975997362646,4.869054615643913,2200,0.14206318748001848,blood_cd34,0.9724715118506367,0.9125999025962709,0.9432543030474858,0.9433040383826645,2200,0.014991903296964848
0.9285714285714286,0.185,25,0.34383035390014105,0.3363321486293977,0.3399707297098369,0.33995979815024735,2200,0.0018900829991602,1.7566745556531513,1.637573521006993,1.6994565044045373,1.7009218279192555,2200,0.030799341455919237,5.161567647500514,4.60419871732579,4.872698574998166,4.86900220965908,2200,0.14217591725971826,blood_cd34,0.9715674451662122,0.9132976739620446,0.9420282215390754,0.9419500149511802,2200,0.014915292387300532
0.9285714285714286,0.2,25,0.34378879493199743,0.33611321026894125,0.33998328799282035,0.33998602261078315,2200,0.0019473729903181276,1.76607290764207,1.6423448935168983,1.7054309289435894,1.7050390733606489,2200,0.031054811242636572,5.153421085101966,4.607215812427351,4.873284144375743,4.872615554221742,2200,0.14041109340685015,blood_cd34,0.9698020931621009,0.9124594701044395,0.9408322280633233,0.9407255602699703,2200,0.014497390943703215
1.1428571428571428,0.185,25,0.3438706521546246,0.33622144337147397,0.3399940980514501,0.3399946549070153,2200,0.001959875979138811,1.9006265614964404,1.7605630099389502,1.8330463659365406,1.8337966090151525,2200,0.03558291759331844,5.625916473943031,5.001754056297229,5.313572128032533,5.315411168716087,2200,0.15840166738540096,blood_cd34,0.9588082816132221,0.8989266553867277,0.9282675903925289,0.9276751162055348,2200,0.01508806219988625
1.1428571428571428,0.2,25,0.3437229375150824,0.33635212982641033,0.3400103553550315,0.3400114583262076,2200,0.0019439469449202928,1.9080840358951372,1.7638596944789469,1.8373440786769097,1.8374492102442095,2200,0.03685204055297864,5.633874649602731,4.995861968818563,5.314666858052968,5.309187452280651,2200,0.16313261062001513,blood_cd34,0.9568239657344799,0.8984255271819065,0.9269218241699264,0.926618005698441,2200,0.015263514086301886
