amplification,cyclin_throttle,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
0.5,0.05,0.3438972346895209,0.33623047008595014,0.3400238285121199,0.3400158668040689,19800,0.001950825374234959,1.4041645514019434,1.2546146953807913,1.3253928891760922,1.3192713262265543,19800,0.04232257480928719,4.209779137300689,3.6844321973851275,3.9501556958212585,3.9527931080165835,19800,0.13570926433439276,0.9918376751322909,0.9308142582225551,0.961430119471942,0.9616670290248867,19800,0.015521528470861384
0.5,0.08000000000000002,0.34384321487770114,0.3361180915992977,0.33997699629057154,0.33997121811035025,19800,0.001960493211244442,1.4126732670667796,1.2609925503485155,1.3322318395508068,1.3255321750309643,19800,0.04307773828532381,4.211061079807581,3.685641365296166,3.9514287405294084,3.9535206233666957,19800,0.13475843100302012,0.9910139529766878,0.9295664351953519,0.9603182251612699,0.9601796447644718,19800,0.01563886771965636
0.5,0.11000000000000001,0.3437929811071365,0.3361937252385719,0.3400035847178264,0.3399866278893958,19800,0.0019397883860458565,1.4195381462431844,1.2681323341943176,1.33894138495736,1.331467755893342,19800,0.04339103844576826,4.2090053354296115,3.6869008540766277,3.952175714351449,3.9545162619028194,19800,0.13464856592699811,0.9899936806687799,0.9278181882070113,0.9590908683336209,0.9591655560992381,19800,0.015826880178010965
0.5,0.14,0.3438371601498248,0.3361944816063274,0.3400038054287996,0.33999707544925745,19800,0.0019389940440642983,1.4273287504984389,1.2736446176615173,1.3453723237893296,1.3372723405023654,19800,0.044080036330791106,4.208877851224533,3.683216475742227,3.9516888092479077,3.955832837614456,19800,0.1356448341375245,0.9883802477529111,0.9268082679449381,0.9576587512634707,0.957639652214267,19800,0.015677456782854024
0.5,0.17000000000000004,0.34379521265015156,0.3362137074089841,0.3400208002721571,0.34003064098529234,19800,0.001927661156868635,1.4359243355549498,1.2801976679444957,1.3523806573243053,1.3434508933117126,19800,0.044747684799549846,4.212672674756294,3.6844317840516667,3.9513828829354036,3.9537565145828615,19800,0.13511461642827766,0.9869891052068864,0.9247710646096172,0.9561225823330758,0.9562826215961091,19800,0.01583223097427078
0.5,0.2,0.3437995133148048,0.33624492882073287,0.3400101385907343,0.34001422101580053,19800,0.0019330276524255649,1.4434600831531685,1.2874900696510825,1.35875980516933,1.3492590483905653,19800,0.04496762109084768,4.212307802491063,3.688353434358911,3.9517234309252958,3.9545094819903035,19800,0.13542342900576076,0.9855279368901447,0.9233013995842735,0.9545077684677699,0.9545244241864445,19800,0.015746245675461408
0.7142857142857143,0.185,0.3437843664937208,0.33620500792617714,0.3399924362672297,0.3399993245860535,19800,0.001937650838974978,1.598721374593592,1.3893770782350716,1.4868018582030242,1.475103554934361,19800,0.06093038080669864,4.6938436721122425,4.044025776050091,4.381899460152267,4.389446388601313,19800,0.1690660690547021,0.9778104410381898,0.915096277209184,0.9460511735095497,0.9459655887091998,19800,0.016105745963021202
0.7142857142857143,0.2,0.3438102984979453,0.3361567496346782,0.339999664763434,0.33999428766906453,19800,0.0019468037151922403,1.6014973399081256,1.3924632315172298,1.4902099009401808,1.4779213602255634,19800,0.061218546283296385,4.696342694992739,4.0428940981230905,4.38272308477425,4.392369830638642,19800,0.17036502856861024,0.9760831220949503,0.9131966159054534,0.9448617457681746,0.9450453496254076,19800,0.016063774506753958
0.9285714285714286,0.05,0.34380497077093136,0.3362038451395807,0.33999039478652654,0.33999529305194703,19800,0.0019440102928207084,1.7096622905037016,1.4588079041937545,1.5791746031654974,1.5690911288543377,19800,0.0732690770780172,5.1838129763324154,4.401754091418405,4.813934886663113,4.829075113174756,19800,0.2062625150654461,0.9740954348042505,0.9111568153857539,0.9427234577279516,0.9428412741386871,19800,0.016117409156538216
0.9285714285714286,0.08000000000000002,0.34380327842563746,0.33616425121963667,0.3399845738549745,0.33996818545411145,19800,0.0019436995903046321,1.7202723619216023,1.4659579034228518,1.5871460557003398,1.5760503194495854,19800,0.07431577810244389,5.189225859767206,4.403201186625427,4.816102065599862,4.831923524304671,19800,0.20748929727082635,0.9727070732957647,0.9100561638602673,0.9411984614210311,0.941103746495108,19800,0.01611264667699587
0.9285714285714286,0.11000000000000001,0.3438401316831796,0.33616165256616803,0.33999030832122107,0.3399898077117721,19800,0.0019503378400758662,1.7299214653464687,1.473183174361252,1.594894769653992,1.5831325135624108,19800,0.07503320456496132,5.187771814231787,4.406997399005395,4.815836546409681,4.830741670609766,19800,0.20609143895446558,0.9713029986339036,0.9080202407414811,0.9395860722877625,0.9395214813637494,19800,0.016171044016554253
0.9285714285714286,0.14,0.34380552348528437,0.33618124200356136,0.3400112760648536,0.34000027295233237,19800,0.0019594915966498266,1.736871777566725,1.4805567065385308,1.6022135470410808,1.5901975436053557,19800,0.07529259188696734,5.1853292745229975,4.4099505420471266,4.814720038736833,4.831116790065603,19800,0.20611217701432372,0.9695224973611359,0.9051836248476047,0.9374806088108142,0.9373973862814066,19800,0.016351531352823887
0.9285714285714286,0.17000000000000004,0.34385906266192856,0.33618042319551117,0.3400096922847031,0.3400095580000284,19800,0.001943243070770704,1.7464596138231447,1.4868838084342908,1.6094263462571834,1.5963979681334601,19800,0.07627818932083495,5.183153565825331,4.398851752441048,4.812536839719526,4.829096055359948,19800,0.20618897377218248,0.9671573095082318,0.9026952636064041,0.9350566805182028,0.9350157806013474,19800,0.016399415061870183
0.9285714285714286,0.185,0.3438372961102262,0.3362078736437275,0.3399997655063541,0.33999277385038973,19800,0.0019409174298611912,1.7495313436560334,1.4892401968918334,1.6129273762158698,1.5995414537688517,19800,0.07675102436781664,5.187888551793309,4.401681372246413,4.815487858963644,4.832851190020538,19800,0.2075378964754347,0.96587017775272,0.9021722079308575,0.9340547415020013,0.9341300308816374,19800,0.016335058493232812
