amplification,cyclin_throttle,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
0.5,0.05,0.3446651785829496,0.33526588682920766,0.34000878776826565,0.34001558848466734,8100,0.0023878390987887104,1.4295452126989672,1.2808484767549686,1.3495222403124858,1.340010463722189,8100,0.042245080142709286,4.31779761647127,3.736477033761542,4.023576945369969,4.024843445460978,8100,0.14736796893956305,0.9925871349060287,0.930485315272474,0.9616933907540728,0.9615865100409131,8100,0.015697099022071094
0.5,0.08000000000000002,0.3448078742728522,0.3352399394867698,0.34001943436767235,0.3399900391089065,8100,0.002416549019396446,1.4381524360295583,1.2867304462742954,1.3564531226900065,1.3471099291425517,8100,0.043438373344101285,4.318854450674686,3.738615650111307,4.025756964642628,4.024355623191734,8100,0.14841635770676914,0.9917475872341821,0.9297249091524402,0.9604392700709614,0.9605962891190667,8100,0.01567836555903781
0.5,0.11000000000000001,0.3446414057262273,0.3352807122369922,0.33998959324290473,0.33998378781444116,8100,0.0023965691411891453,1.447430382691531,1.294742222140874,1.3638105206508269,1.353535676392415,8100,0.04389477297592455,4.319796350987237,3.7405844518037124,4.0252439133937035,4.023058584740093,8100,0.14904156805094312,0.9900913568579759,0.9276652213378459,0.9589820317685841,0.9591965457239962,8100,0.015741112593369966
0.5,0.14,0.3448126464268103,0.33538124250635326,0.34000791684226583,0.33996704757924334,8100,0.002392076310214939,1.4563983843375312,1.3004438845341861,1.3703075788269896,1.359675397942429,8100,0.04443891793179262,4.31616630860565,3.7263283453367664,4.0237870122810415,4.0254377976416436,8100,0.14938290969520002,0.9880501336942612,0.9266768824440867,0.9577083359564643,0.9578475683732552,8100,0.015572900969086916
0.5,0.17000000000000004,0.34448186947424164,0.3354867915101412,0.3399953158989129,0.34001224772420313,8100,0.0023154707440222826,1.4632204956786121,1.3065677683575896,1.3771209034271306,1.3656911130111795,8100,0.04520085666308792,4.3262174935888105,3.7402753896320906,4.026160823236643,4.026845552880677,8100,0.14917349307474584,0.9871314781250928,0.9246684466455559,0.9561510772299198,0.9561871740154906,8100,0.015826299438931594
0.5,0.2,0.344643010677351,0.33541411461092485,0.34001990756018313,0.3400122504664519,8100,0.0023910933607388077,1.4702008236250521,1.31457832968673,1.3836294922432626,1.3715281764726444,8100,0.04538113325034444,4.320629099525312,3.728854198392194,4.022955057755222,4.021518985115947,8100,0.14872207820261885,0.9849924979593302,0.9235222077312593,0.9543714730422757,0.9542976046408771,8100,0.015664209505520835
0.7142857142857143,0.185,0.3446318603794619,0.33539292746436306,0.33999049701245676,0.33995700434151155,8100,0.0023493646726309918,1.6377430136851776,1.4302162907446536,1.522530046681513,1.5052120016790709,8100,0.061812024430914034,4.835808942333231,4.126118803324985,4.487941583066715,4.4916031887449375,8100,0.1828776848224354,0.977285060981583,0.9149287587252161,0.9461057839629542,0.9459860862229617,8100,0.016012980790011164
0.7142857142857143,0.2,0.34477748836991884,0.33529549703253336,0.340006296024347,0.3400095585558432,8100,0.002409638740253291,1.6424842709016865,1.4335123146314468,1.5268730762251819,1.508787854035348,8100,0.06153863813787449,4.8361853875650835,4.130083855833032,4.486649439224636,4.488807080075429,8100,0.1796323823123452,0.9764847536789689,0.9135858804852496,0.9448886371924488,0.9448114652402659,8100,0.0160093983369054
0.9285714285714286,0.05,0.3447675590672886,0.3352465406095981,0.3400022557078911,0.3399763436678823,8100,0.0024163876576263673,1.7591209888625166,1.5100865162594042,1.6248021832312765,1.6070670066004764,8100,0.07329622938083077,5.354520338287955,4.532196894926513,4.948523932350512,4.953872529158065,8100,0.21366627266798932,0.9745465729911875,0.9115962404835934,0.9427082998982202,0.9427750299021074,8100,0.016066705552944992
0.9285714285714286,0.08000000000000002,0.34471222379618477,0.33532955610285126,0.3399783010936463,0.33999421068067087,8100,0.0023728796373675815,1.7697238797521224,1.517612662699989,1.6328313722749885,1.6143716053121904,8100,0.07425991696209153,5.352703452264687,4.524266668238212,4.949060038074656,4.95486794447889,8100,0.21488996675815722,0.9727330772280972,0.9095975348332169,0.9411639914924286,0.9410369755407,8100,0.01614048437331746
0.9285714285714286,0.11000000000000001,0.34472608797108134,0.33545269158779023,0.3400069037155381,0.3399837267739403,8100,0.002376926177694614,1.7767602923230275,1.5282394667591352,1.6407699119404644,1.6217261243548533,8100,0.0738271957980039,5.354809718740728,4.534642486306796,4.95302367588277,4.958940088850602,8100,0.21124662864867022,0.9716746307971569,0.9073920161680351,0.9389939284594162,0.9390165166560658,8100,0.01638300505323269
0.9285714285714286,0.14,0.34460306228771914,0.33530498134134223,0.33997993858922915,0.3400003929042519,8100,0.002363915552754211,1.7865196021815368,1.531065345470084,1.6481451509272949,1.628178062393952,8100,0.0756556842135045,5.356002597383189,4.531870921316613,4.953724751758155,4.960102461845217,8100,0.21584627246134874,0.969562295373338,0.9055622366198612,0.9376253442074621,0.937822578353772,8100,0.016386953120320118
