amplification,cyclin_throttle,donor_age,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,tissue,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
0.5,0.05,25,0.3447469926037004,0.33528022249318623,0.339931008529924,0.339913483637994,900,0.0024382704422504834,1.4402109124666402,1.358458516914965,1.3999660333361927,1.400126331260029,900,0.021612168186300455,4.3302728419218495,3.8065138763173803,4.05690715380589,4.051139906650881,900,0.1318044563626094,blood_cd34,0.9990395476621803,0.9372782749415625,0.9671528123662784,0.9668721059805523,900,0.0151647609992591
0.5,0.08000000000000002,25,0.34466527753905685,0.3351248020040237,0.3399818288617008,0.3399088742264247,900,0.002441936007418714,1.4499355629513508,1.3688464086080647,1.4080368640934307,1.407793487576186,900,0.021001906637562726,4.330498794064845,3.8026993467413908,4.056711797963472,4.053223916648488,900,0.13596986024357086,blood_cd34,0.9963958628905804,0.9357461622706594,0.9661855065191457,0.9656000344860048,900,0.014964044474060178
0.5,0.11000000000000001,25,0.3444217820483678,0.33552307580536644,0.34002178775163827,0.3401183577004255,900,0.002313933425479487,1.4579248223770847,1.3748003304576102,1.4158121835351438,1.4153329290599628,900,0.02145299228875933,4.321166071110488,3.808923538231518,4.056202843887227,4.054495533266716,900,0.1306546865498734,blood_cd34,0.9944218569559516,0.9353333360290326,0.9645464527637622,0.9647153327753176,900,0.014898583603423951
0.5,0.14,25,0.3446461109878914,0.3351702102956524,0.3400580443446659,0.33999667867939776,900,0.002457150471496941,1.46706246438837,1.377288069142935,1.4215075144691682,1.4206070893418317,900,0.021606787394665535,4.303983875483809,3.791470080587663,4.0557144587598755,4.060773419130353,900,0.13164790207898713,blood_cd34,0.9960693191557066,0.9364012252668068,0.9641816605426072,0.9641061011813132,900,0.014638269955676393
0.5,0.17000000000000004,25,0.344230704279199,0.3356240373620569,0.33996047276132946,0.3399529807584589,900,0.002283937161396073,1.4726251724848693,1.3852889001321576,1.429889743024641,1.4305470784926282,900,0.022130773505734273,4.344913266565022,3.8177726312016493,4.0574038170545155,4.05021791678811,900,0.13374952482173805,blood_cd34,0.9933038423822836,0.9350665668557916,0.9631763689420852,0.9631168090396546,900,0.01470039232589169
0.5,0.2,25,0.34449234803212925,0.3352643631845626,0.33997371910030777,0.3400860926991718,900,0.0023640767078830123,1.480434870521731,1.3960436420571545,1.437632934064486,1.4374332558579699,900,0.020963201290653443,4.2993870607304885,3.8033007563987153,4.047088949001057,4.040891115071172,900,0.12771548088170614,blood_cd34,0.9903022093060097,0.9301098536983198,0.9606913826283126,0.9607392030316262,900,0.015063610934260152
0.7142857142857143,0.185,25,0.3445773010459088,0.33552154667865386,0.33990139718698353,0.3397912322102549,900,0.0023162254233304383,1.6512470310293546,1.546980981690245,1.5969767065776734,1.5967549102353011,900,0.02684356984313249,4.815853269909392,4.243971653514079,4.532222358824451,4.530379108084793,900,0.1481329595977774,blood_cd34,0.9830081568233764,0.9253525214370354,0.9530957515056069,0.9529483805544947,900,0.01481444550985351
0.7142857142857143,0.2,25,0.34497289196945313,0.3350821396734386,0.33989967778486796,0.3397984152875524,900,0.0024553300830846858,1.6511062863271848,1.5544385246502774,1.601592400361741,1.600691010418016,900,0.025143556464442152,4.861976699385082,4.260407264872662,4.527280227632497,4.5244027334119465,900,0.15057695619968436,blood_cd34,0.9813026768840151,0.9234189944888085,0.9526983436815125,0.9527021108684273,900,0.014639014025674085
0.9285714285714286,0.05,25,0.34484247681873476,0.33518128377742834,0.3399668181712583,0.33989852528959474,900,0.002414243732266273,1.7675218327037951,1.6517384728215623,1.7102600178682321,1.7122622916145225,900,0.02937781047275358,5.350865180366566,4.695554156285424,4.9988316509502555,4.99135862037694,900,0.16885629018750584,blood_cd34,0.9796141853068686,0.9201031136810232,0.9502544606215213,0.9503461380495538,900,0.01517907938293034
0.9285714285714286,0.08000000000000002,25,0.3444888019088525,0.3353036488618533,0.33991184932432134,0.3398834688444816,900,0.0023517424795356625,1.7795208887941452,1.6552022932213841,1.7201647520387726,1.7205803287040546,900,0.03159597045607881,5.339940436147093,4.664985220640336,5.005220409988953,5.007930987246695,900,0.17223718526678508,blood_cd34,0.9768554118023309,0.9216882033337624,0.9479570779393396,0.9479606159425751,900,0.014417501672818467
0.9285714285714286,0.11000000000000001,25,0.3448432300576185,0.3356132875881388,0.340037932290335,0.3399996714723646,900,0.0024203755415534924,1.7840396519989745,1.6677117141055064,1.726599087166143,1.7269374643006126,900,0.03137920948874881,5.316203375533609,4.70407338971555,4.999916818790949,4.994647033033891,900,0.16202006869936283,blood_cd34,0.9762240833680993,0.915487282276476,0.9468000137063286,0.946803426751931,900,0.015311537141033478
0.9285714285714286,0.14,25,0.344445190120087,0.3352061556199413,0.34007620862330074,0.3400094921895268,900,0.002359311691003222,1.7905080652243046,1.6757984167673345,1.7361234435732482,1.7369627931399048,900,0.030022453280103698,5.354952530847124,4.697166347099512,5.00409114526325,4.992636566775948,900,0.1714295440398958,blood_cd34,0.9748355116708751,0.9177895976069035,0.9452529004896757,0.9451093572356556,900,0.014651354030833693
