amplification,cyclin_throttle,donor_age,leakage_ci_high,leakage_ci_low,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,pct_fucci_pass,pct_fucci_pass_ci_high,pct_fucci_pass_ci_low,pct_joint_mutation_viability,pct_joint_mutation_viability_ci_high,pct_joint_mutation_viability_ci_low,pct_mut_ge_2,pct_mut_ge_2_ci_high,pct_mut_ge_2_ci_low,pct_viability_ge_threshold,pct_viability_ge_threshold_ci_high,pct_viability_ge_threshold_ci_low,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,tissue,viability_ci_high,viability_ci_low,viability_mean,viability_median,viability_n,viability_std
1.51,0.14,25,0.3459348101512144,0.33360864387515804,0.3401731826479889,0.3399872032303392,120,0.003098369112087273,2.1687331724954464,1.9864275318668387,2.095055240272298,2.1029618340503227,120,0.045555423956655454,100.0,100.0,96.89808335812967,95.83333333333333,98.20732831198904,90.61591476629648,95.83333333333333,98.20732831198904,90.61591476629648,100.0,100.0,96.89808335812967,6.762436255624797,5.905492930813519,6.313434354422715,6.3189967232185,120,0.2497799392429106,blood_cd34,0.9284683502706562,0.876863430678508,0.9052341942532539,0.9063357985616012,120,0.014189040498834677
1.51,0.14750000000000002,25,0.3458042095834943,0.3343574016070848,0.33995498288476184,0.34001654549219273,120,0.002857037917371232,2.1865745812439803,2.0240353642609556,2.101458208285142,2.0964069825976965,120,0.04351885005827774,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,6.738917042110492,5.897128963671623,6.282364884382043,6.261156366819905,120,0.24204414087588935,blood_cd34,0.9321640807617888,0.873682199063326,0.9027026844897352,0.9021044191910291,120,0.015933950399455277
1.51,0.15500000000000003,25,0.3455274260243126,0.33488679358529166,0.3397153477364868,0.3396989727546205,120,0.0027931591305091954,2.173191646929427,2.040624333644106,2.102959013972385,2.1011124384110023,120,0.03980474040190705,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,100.0,100.0,96.89808335812967,6.8389914381389,5.829213358427459,6.30170538925789,6.304405974328087,120,0.24965215676386446,blood_cd34,0.9330685788763317,0.8684868795447284,0.9010562182606304,0.9019769841997665,120,0.016032271708096138
1.51,0.16025,25,0.3453936843928497,0.3341092123351026,0.33941068393507495,0.3394971330956284,120,0.0030619540286448053,2.178317176175217,2.0333764024148837,2.1027952544662885,2.1046435784820416,120,0.038938631408942916,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.7980623748182385,5.8796986659157255,6.329732946333053,6.340250317736698,120,0.2535941805242367,blood_cd34,0.9283462670962183,0.878969115709964,0.9030103208532938,0.9029559847840771,120,0.013349078294400638
1.51,0.1625,25,0.3453951152014615,0.3351785383951052,0.3400045103692095,0.34000725485661687,120,0.0026410555848037304,2.1878936798180564,2.0219689731261217,2.1043264370709847,2.1085381452158884,120,0.04345285533271713,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.760946371444494,5.854235427152773,6.289182257627169,6.286439735230955,120,0.24733362318804653,blood_cd34,0.9324543978651767,0.877109420591466,0.9025575821291071,0.9014039355167716,120,0.013948121817069788
1.51,0.16475,25,0.34552989875853696,0.3357617615823696,0.3399695329131379,0.339877762990377,120,0.00241048691886495,2.175747842907009,2.0126375362929405,2.10184087999053,2.099206321333827,120,0.04320664765439776,100.0,100.0,96.89808335812967,98.33333333333333,99.54174354340789,94.1264037027841,98.33333333333333,99.54174354340789,94.1264037027841,100.0,100.0,96.89808335812967,6.783398547069964,5.73730982111179,6.2880263099086156,6.274918904698266,120,0.262470518352295,blood_cd34,0.9286329881724099,0.877948806318515,0.9012525226822246,0.9015137054323731,120,0.014195095482919239
1.51,0.16775,25,0.3452985985361078,0.33350445077311425,0.3398279638118302,0.3396775832903468,120,0.002983363585074329,2.171230088682076,2.016224083388015,2.1022701689155516,2.106519951983872,120,0.041139374149728486,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.72844456343643,5.841833405968152,6.279389504274648,6.305169814705442,120,0.23419565589796743,blood_cd34,0.931047865029969,0.8688613791023971,0.9028798698037258,0.9039031572728022,120,0.014884705416812265
1.51,0.17,25,0.34421815522695515,0.3353726203339148,0.3400051598614803,0.34000364932472754,120,0.0024578034842891957,2.1890477832294226,2.023961400605679,2.106504767279704,2.1067108157656187,120,0.042868986126051715,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.798934488402617,5.865211200284065,6.27063603618847,6.244788184715244,120,0.264361709453592,blood_cd34,0.930044801987433,0.8739307137500922,0.9037995968941223,0.9058327154934644,120,0.015234416877383273
1.528,0.16025,25,0.34481461780767975,0.3353935054273646,0.34013812627112566,0.3402296952470539,120,0.0023885811003940692,2.1930488231149248,2.0282296765788197,2.105746974121587,2.1035414302776454,120,0.042962738880817676,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,6.871117270827456,5.893601931624609,6.3486947641703795,6.347683271462236,120,0.2781675508420194,blood_cd34,0.9333778132683307,0.8695285722760091,0.9030876737359629,0.9025359539405321,120,0.01783383910095179
1.528,0.1625,25,0.34432517422226905,0.33360137239040244,0.3394070782679233,0.33926051962891146,120,0.0026988057966042447,2.1875693458234946,2.024220107605986,2.111237902463612,2.1118364287292044,120,0.042682829942290106,100.0,100.0,96.89808335812967,99.16666666666667,99.8527444266658,95.43037087549506,99.16666666666667,99.8527444266658,95.43037087549506,100.0,100.0,96.89808335812967,6.885863008555573,5.880450268941067,6.328193143915219,6.286521290960579,120,0.25895909831645114,blood_cd34,0.9235053998623614,0.8722519520675703,0.9001103983116737,0.900215280557711,120,0.014408572162489874
