amplification,cyclin_throttle,leakage_ci_high,leakage_ci_low,leakage_hier_ci_high,leakage_hier_ci_low,leakage_hier_mean,leakage_hier_n_strata,leakage_mean,leakage_median,leakage_n,leakage_std,mutation_reduction_ci_high,mutation_reduction_ci_low,mutation_reduction_hier_ci_high,mutation_reduction_hier_ci_low,mutation_reduction_hier_mean,mutation_reduction_hier_n_strata,mutation_reduction_mean,mutation_reduction_median,mutation_reduction_n,mutation_reduction_std,pct_fucci_pass,pct_fucci_pass_ci_high,pct_fucci_pass_ci_low,pct_joint_mutation_viability,pct_joint_mutation_viability_ci_high,pct_joint_mutation_viability_ci_low,pct_mut_ge_2,pct_mut_ge_2_ci_high,pct_mut_ge_2_ci_low,pct_viability_ge_threshold,pct_viability_ge_threshold_ci_high,pct_viability_ge_threshold_ci_low,sphase_fold_ci_high,sphase_fold_ci_low,sphase_fold_hier_ci_high,sphase_fold_hier_ci_low,sphase_fold_hier_mean,sphase_fold_hier_n_strata,sphase_fold_mean,sphase_fold_median,sphase_fold_n,sphase_fold_std,viability_ci_high,viability_ci_low,viability_hier_ci_high,viability_hier_ci_low,viability_hier_mean,viability_hier_n_strata,viability_mean,viability_median,viability_n,viability_std
1.45,0.14,0.34532132265022336,0.3350621196043629,0.34017901669429423,0.3398310327900795,0.3400118629857655,9,0.3400118629857655,0.3400245851667294,1080,0.002698224986388191,2.148005104052968,1.7889497715180052,1.9526560197267682,1.9486594606812373,1.9506187143443414,9,1.9506187143443412,1.926032783707503,1080,0.10584548331227281,100.0,100.0,99.64557004260809,32.870370370370374,35.72830503860354,30.133860780132594,32.870370370370374,35.72830503860354,30.133860780132594,99.62962962962963,99.8558787917443,99.05157591721483,6.669816603195962,5.422716812128176,6.0820978461924255,6.058865203003015,6.070652002231597,9,6.070652002231596,6.0778598103262995,1080,0.31559584482705455,0.9337696268619412,0.865754242644713,0.899381201143222,0.897565889981621,0.8984714867192825,9,0.8984714867192827,0.8987274896924763,1080,0.017600591067806023
1.45,0.14750000000000002,0.3453390756423659,0.33445164127660737,0.3401797992188233,0.3398254055668588,0.3400124794070362,9,0.34001247940703627,0.3399374113877857,1080,0.0027300524557623634,2.1497884937077174,1.7905068297566396,1.954280916740581,1.9494485987061652,1.951975481104594,9,1.951975481104594,1.9234628987379878,1080,0.10815878407112753,100.0,100.0,99.64557004260809,33.425925925925924,36.29368718843964,30.675651630769917,33.425925925925924,36.29368718843964,30.675651630769917,99.72222222222223,99.90548649702926,99.18649704534212,6.66228763473905,5.44286578666383,6.093322322337054,6.066518417080029,6.07900248530728,9,6.07900248530728,6.097015841621234,1080,0.3185691762553404,0.9300812709124269,0.8646122462482329,0.8990486505931953,0.8973222373802181,0.8981378159675807,9,0.8981378159675808,0.8981108587988993,1080,0.017465971167154662
1.45,0.15500000000000003,0.34533802156179083,0.33451532439310067,0.340225441115203,0.33989184522378363,0.34005898402841106,9,0.3400589840284111,0.34011313910803204,1080,0.0028279939339489264,2.141955268375018,1.7886719973305751,1.9537903487700243,1.9492770956456247,1.9514293309858612,9,1.9514293309858612,1.926351398629204,1080,0.10625419363451656,100.0,100.0,99.64557004260809,32.407407407407405,35.25681636823206,29.68270528344289,32.407407407407405,35.25681636823206,29.68270528344289,99.72222222222223,99.90548649702926,99.18649704534212,6.666159779600346,5.434017153456696,6.090039524503029,6.06197939549395,6.075195284409043,9,6.075195284409043,6.088500428857236,1080,0.3226729741391822,0.9319479104057242,0.8650014876293847,0.8989208591602366,0.8970361271224087,0.897963961286986,9,0.8979639612869861,0.8978975887467339,1080,0.017637659599329895
1.45,0.1625,0.34540916129912985,0.33484297764614,0.3400971434476271,0.33981226152236416,0.3399741268608303,9,0.3399741268608303,0.33988510581894243,1080,0.002751745264265041,2.1511242046880374,1.7992478328621915,1.9586300190116295,1.9537880040257953,1.9560867636472699,9,1.9560867636472696,1.9301724429368279,1080,0.10479505433560704,100.0,100.0,99.64557004260809,33.148148148148145,36.01105092600708,30.404701392965762,33.148148148148145,36.01105092600708,30.404701392965762,99.44444444444444,99.74514257862359,98.79325446351108,6.660896965299487,5.44615787560411,6.0930873243903685,6.067146365703653,6.079133441363449,9,6.0791334413634495,6.101515886716267,1080,0.322729793493371,0.9304699633102582,0.8619424729107408,0.8978671096084369,0.896196990331784,0.897065146982996,9,0.8970651469829961,0.8974529559563409,1080,0.017355796259742293
1.45,0.17,0.3451568997330701,0.33509056329601167,0.3402638598670388,0.33994584982611,0.3401026228065082,9,0.34010262280650816,0.3400845471940823,1080,0.002652674325663144,2.150980068105457,1.791991392431261,1.959643776824662,1.9546792047088224,1.9573298781181974,9,1.9573298781181978,1.9296612253829957,1080,0.10744666763497603,100.0,100.0,99.64557004260809,33.148148148148145,36.01105092600708,30.404701392965762,33.148148148148145,36.01105092600708,30.404701392965762,99.62962962962963,99.8558787917443,99.05157591721483,6.691307150472706,5.456578660264124,6.095042250245436,6.062100127809444,6.077832266062561,9,6.07783226606256,6.0928046737808454,1080,0.3314579891076966,0.9291703912044091,0.8614551987552149,0.8960035396676457,0.8942959742353309,0.895179780473334,9,0.895179780473334,0.8949397342776095,1080,0.017352705038991726
1.492,0.16025,0.3451686122914115,0.33471537497954645,0.34017988447196873,0.3398435889925669,0.34000726330156583,9,0.3400072633015659,0.340039122899299,1080,0.0026810392437142112,2.1746271061598836,1.8132269355895825,1.9791199469026122,1.9742669540710067,1.9766393924665968,9,1.9766393924665968,1.950249534104579,1080,0.10601171173780306,100.0,100.0,99.64557004260809,35.46296296296296,38.36306568435251,32.66590746992626,35.46296296296296,38.36306568435251,32.66590746992626,99.07407407407408,99.49628679763201,98.3039949108537,6.785954476599167,5.542940027392773,6.190887882178849,6.158824281034132,6.174314539292898,9,6.174314539292898,6.190615052134953,1080,0.32997027888972,0.9262631031208599,0.8589075636579414,0.8939687958462599,0.8922138942574623,0.8930424792378696,9,0.8930424792378695,0.893401849234035,1080,0.017728713285465936
1.492,0.1625,0.34536259911182654,0.33447539825543465,0.3400927380235208,0.3397794502886586,0.3399320003237861,9,0.33993200032378607,0.33996367515373926,1080,0.0027078566073321826,2.1699211358848385,1.811517285148091,1.9800988840933536,1.9760990424005953,1.9781502673533093,9,1.9781502673533093,1.9515107487022112,1080,0.10796836029991161,100.0,100.0,99.64557004260809,36.111111111111114,39.02031518771741,33.300359800447026,36.111111111111114,39.02031518771741,33.300359800447026,99.44444444444444,99.74514257862359,98.79325446351108,6.7845454431689705,5.514564469891752,6.195083105498044,6.166030278034566,6.180712983855797,9,6.180712983855797,6.199309953134785,1080,0.3311100696298254,0.9266523815074562,0.860416569676323,0.8943434203008536,0.8924334187083858,0.8933860125363692,9,0.8933860125363693,0.8932610533517165,1080,0.017186052639148144
1.492,0.16475,0.3457187746982977,0.3345045159985144,0.3403332697289431,0.3400310949754295,0.34014774499975897,9,0.3401477449997589,0.3402242842129356,1080,0.0028202491837810623,2.181004804577916,1.8029030713261642,1.9796574622447174,1.974839430658164,1.9772787927836692,9,1.9772787927836695,1.9484438399508015,1080,0.10964730081394375,100.0,100.0,99.64557004260809,36.2037037037037,39.11416194268648,33.39104187889019,36.2037037037037,39.11416194268648,33.39104187889019,98.98148148148148,99.4303355936343,98.18541728143917,6.806377547683796,5.500553813435624,6.187241889106983,6.152196659480089,6.167937730498738,9,6.167937730498738,6.1820278029289355,1080,0.3392467936353148,0.9264012973856224,0.8564211360423796,0.8929818974847661,0.8911061983297908,0.8920110342173013,9,0.8920110342173012,0.8921743991180738,1080,0.017858204637693168
1.492,0.16775,0.34490945159748015,0.33429563278984237,0.34016884546098697,0.3398335380131539,0.33999252458651824,9,0.3399925245865183,0.34009200330064276,1080,0.002714198216561858,2.1713099226343644,1.8094375078002796,1.978337892355114,1.9734567467990614,1.9757811577578126,9,1.9757811577578128,1.951068768884332,1080,0.10733260292883466,100.0,100.0,99.64557004260809,35.0,37.89325392777223,32.21307505944535,35.0,37.89325392777223,32.21307505944535,99.53703703703704,99.8020926475813,98.9208332279656,6.833875897782768,5.5022338986959465,6.180923320532924,6.155375414568759,6.167584251213352,9,6.167584251213352,6.174000130337065,1080,0.34110842369116817,0.9254001187860859,0.8576548239412216,0.8923861250387642,0.8908043657141576,0.8916295822754312,9,0.8916295822754312,0.8916852542635724,1080,0.017288999990252078
1.492,0.17,0.3452145707045776,0.33489706954878845,0.3402283119083351,0.33987107449403814,0.34003671973907557,9,0.3400367197390755,0.33999131624706724,1080,0.0027195155425453017,2.1791527843060368,1.8120669195820873,1.9809247742940885,1.976463299491755,1.9787269074660132,9,1.9787269074660134,1.950865987746741,1080,0.10996967598786819,100.0,100.0,99.64557004260809,35.74074074074074,38.64481328539205,32.93774636912343,35.74074074074074,38.64481328539205,32.93774636912343,98.98148148148148,99.4303355936343,98.18541728143917,6.7790260026600455,5.493463178842338,6.185916188977896,6.1510664918899,6.169851170073518,9,6.169851170073518,6.187010214598622,1080,0.33811229708476415,0.9251273506549653,0.8571207283977594,0.8922860913694265,0.8904575964509117,0.8912876654621963,9,0.8912876654621962,0.8909807851468079,1080,0.01752933637302727
1.51,0.14,0.3452333513598309,0.33412457696328923,0.34001016716309373,0.3396966162219621,0.33986762049997427,9,0.3398676204999743,0.3398963726071353,1080,0.002815325779692046,2.183872942093685,1.7996954639368523,1.9825350757680809,1.9777371630710452,1.980249971765875,9,1.9802499717658752,1.9500551327342026,1080,0.1134002060347004,100.0,100.0,99.64557004260809,36.2962962962963,39.20799724771264,33.481735407276275,36.2962962962963,39.20799724771264,33.481735407276275,99.35185185185185,99.68568786873786,98.66818033998457,6.796036031083138,5.563578537464157,6.223101280372248,6.197382492864633,6.209953770194312,9,6.209953770194313,6.227275143781252,1080,0.3314142433566483,0.9268095745042286,0.8588683393690294,0.8938425237865756,0.8921825500056859,0.8930443113650663,9,0.8930443113650665,0.8928202597608406,1080,0.01736000233753409
1.51,0.14750000000000002,0.3450987350411405,0.3346725321605645,0.3401815512134999,0.33988890407471406,0.34004112379034784,9,0.3400411237903479,0.3400253664284524,1080,0.002693632919609418,2.1852712320069143,1.8095535057840448,1.985341039922435,1.9806143536814795,1.9832411231963911,9,1.9832411231963911,1.9550461422091834,1080,0.10987224692156213,100.0,100.0,99.64557004260809,37.03703703703704,39.95826971325996,34.20769360902684,37.03703703703704,39.95826971325996,34.20769360902684,99.25925925925925,99.62418565748195,98.54515371782824,6.802403995903697,5.580130555071577,6.221230341640055,6.194214699959701,6.208616771324579,9,6.2086167713245795,6.2285748207876965,1080,0.3289542171807673,0.9294420501469981,0.856401687799821,0.8928939010477945,0.8911678332235023,0.8919932872025443,9,0.8919932872025444,0.8923739365060546,1080,0.018111957608618105
1.51,0.15500000000000003,0.34534517480629817,0.3343340932999519,0.34011506083493687,0.3398057316165662,0.3399595552589506,9,0.3399595552589506,0.33999607951345445,1080,0.0027349955592574997,2.1850560755393116,1.8133269040134374,1.9889028288658706,1.9840455191645494,1.9864119994773715,9,1.9864119994773715,1.9553831891007158,1080,0.10993173020665703,100.0,100.0,99.64557004260809,36.75925925925926,39.67700267676391,33.935374145286175,36.75925925925926,39.67700267676391,33.935374145286175,99.25925925925925,99.62418565748195,98.54515371782824,6.8109090596328885,5.562662644079871,6.220285186677567,6.189653516345124,6.206776562050895,9,6.206776562050896,6.208263546072676,1080,0.3279466313286433,0.9247785619446361,0.8576675475388997,0.8917573018825222,0.890130537683472,0.8909482911961886,9,0.8909482911961886,0.8903837610121089,1080,0.017135079523212807
1.51,0.16025,0.3457188703249242,0.3343851572745712,0.34011187270188487,0.3397871119996325,0.3399433162073517,9,0.33994331620735174,0.339921957267831,1080,0.002835235387716403,2.1854439449353893,1.8222803744766605,1.987693457785095,1.9828437789817288,1.9851439411474037,9,1.9851439411474041,1.959620692342675,1080,0.10813912282022779,100.0,100.0,99.64557004260809,36.851851851851855,39.77076967150753,34.026135983954795,36.851851851851855,39.77076967150753,34.026135983954795,98.70370370370371,99.2262725854243,97.83589378941248,6.834454699561804,5.548657393071034,6.226887323688225,6.197699003327974,6.213489988052113,9,6.213489988052113,6.229617862710748,1080,0.3489245351272813,0.9251121330697717,0.8547925357893905,0.892084356109777,0.8904215090144361,0.8912288447292975,9,0.8912288447292974,0.8919645568721518,1080,0.01786458118767692
1.51,0.1625,0.3453665930821652,0.3342509834757835,0.34015029635793814,0.33982496237988236,0.3399869956838666,9,0.3399869956838666,0.3400282013267128,1080,0.0028034881657691166,2.1913700456680356,1.8210122853750477,1.9899825345695161,1.9847232121359435,1.9873610994820963,9,1.9873610994820967,1.9568472922983646,1080,0.11097371701713311,100.0,100.0,99.64557004260809,38.05555555555556,40.98871656547121,35.2070639243502,38.05555555555556,40.98871656547121,35.2070639243502,99.35185185185185,99.68568786873786,98.66818033998457,6.840763303559094,5.575522781043412,6.224796420531386,6.196495770170788,6.209207970150825,9,6.209207970150825,6.220915652144978,1080,0.33217224060849726,0.9240979460991505,0.856703203382437,0.8920960153356015,0.8902197873154655,0.8911872711688252,9,0.8911872711688252,0.8914192574899529,1080,0.017842101939234623
1.51,0.16475,0.3455250319318844,0.3345862293055296,0.3401526391870843,0.33985195159816367,0.3399908638681149,9,0.3399908638681149,0.3399958360548446,1080,0.002748210889503669,2.187440355650987,1.8212489235161669,1.9894513555614353,1.985372662465428,1.9874343214348076,9,1.9874343214348074,1.9618433059038085,1080,0.10992623423945147,100.0,100.0,99.64557004260809,37.129629629629626,40.0520027953311,34.298489360367945,37.129629629629626,40.0520027953311,34.298489360367945,98.98148148148148,99.4303355936343,98.18541728143917,6.8319075148044055,5.5523153363736855,6.217768022463462,6.188447043446672,6.203117755300657,9,6.203117755300657,6.214245763372823,1080,0.3338664945055639,0.9250908439595804,0.856977412260866,0.8918173175895663,0.8902451897833665,0.8909132538790201,9,0.89091325387902,0.8903897470210036,1080,0.01723203309652572
1.51,0.16775,0.34538021315817397,0.33421318989437704,0.3401514343267454,0.3398617996183502,0.3399863789455357,9,0.3399863789455357,0.3400972678835967,1080,0.0028021697794220666,2.1885576751045943,1.8157420495907008,1.9898342530287594,1.9850051026259015,1.98758710161425,9,1.98758710161425,1.959235407205918,1080,0.10931160729903767,100.0,100.0,99.64557004260809,37.22222222222222,40.14572460795879,34.38929638115249,37.22222222222222,40.14572460795879,34.38929638115249,98.98148148148148,99.4303355936343,98.18541728143917,6.798178768889699,5.522964620547435,6.21275291385133,6.1833162695516855,6.195148235815981,9,6.1951482358159815,6.2127071850945,1080,0.33089897115621264,0.927505927942858,0.8536844340910822,0.8911766655076508,0.8895061108053989,0.8903228345202451,9,0.8903228345202451,0.8902236901122071,1080,0.0187602304246187
1.51,0.17,0.34544069655138016,0.3345427976934723,0.3400799508261713,0.3397916022342481,0.3399430460545537,9,0.3399430460545538,0.3399220271956791,1080,0.002757072526664786,2.1883713242568494,1.8192047193642098,1.9905436746434864,1.9857313038722224,1.987995485385313,9,1.9879954853853132,1.961901516419479,1080,0.11016158040527534,100.0,100.0,99.64557004260809,38.05555555555556,40.98871656547121,35.2070639243502,38.05555555555556,40.98871656547121,35.2070639243502,99.16666666666667,99.56096838329054,98.42384215860743,6.824000871122032,5.581227673399039,6.228397777223068,6.196264126392947,6.210200340161775,9,6.210200340161775,6.2229667609765755,1080,0.32558061939349525,0.9249676487670645,0.8554085707216668,0.891180812082529,0.8898050156326935,0.8905036240978532,9,0.8905036240978531,0.8899743976960053,1080,0.01712518698377566
